MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS,IMDb Link,720p torrent,1080p torrent
Bleach (2018),6.5,81,"2,52,399",https://www.imdb.com/title/tt5979872/,https://yts.am/torrent/download/9BA6AF096F716A630394619FA1D897C15E7DFC64,https://yts.am/torrent/download/571F4987507324418E1C983A4857BF4B6A712718
,,,,,,
Be with You (2018),7.6,7,"1,919",https://www.imdb.com/title/tt8092252/,https://yts.am/torrent/download/6B5FDAC26ACCAA9135B5F038DA304B5B68D4D73A,https://yts.am/torrent/download/4970A9ED8441884402016DA4DEFD0B2B5134EAE3
,,,,,,
Back Roads (2018),5.9,4,"13,938",https://www.imdb.com/title/tt0972544/,https://yts.am/torrent/download/584824BF69B18CAAD8B7C53DC9E68201858FF4F7,https://yts.am/torrent/download/633112A3E36FF192D263EF32F5E6293CBC2C5277
,,,,,,
The Predator (2018),5.6,185,"9,41,926",https://www.imdb.com/title/tt3829266/,https://yts.am/torrent/download/427447EAB5E561C8F47E0FC68BBE8ADEB394125C,https://yts.am/torrent/download/449F4DDF1FB79C63F59243FD8DBFD843A92EE5CE
,,,,,,
Peppermint (2018),6.5,92,"2,95,526",https://www.imdb.com/title/tt6850820/,https://yts.am/torrent/download/1B642EB820E26E6A33B0B082C368EF30FC6E59DF,https://yts.am/torrent/download/A6BEFF886FA10087327898B2D8E461404B3A5E55
,,,,,,
Mowgli: Legend of the Jungle (2018),7.3,73,"8,181",https://www.imdb.com/title/tt2388771/,https://yts.am/torrent/download/DD2E70D8245610CF15B2A0E0241C753101EEB25A,https://yts.am/torrent/download/C54DADE3BC75E881028F3AE0772A0C6E25F4A1F7
,,,,,,
Dumplin' (2018),6.8,5,"24,644",https://www.imdb.com/title/tt4878482/,https://yts.am/torrent/download/397874092501A1BE8AA62069E652441A377214F1,https://yts.am/torrent/download/EB67751EB982CAFDD12C65695DF38D6406D45754
,,,,,,
Hospitality (2018),1,4,"15,251",https://www.imdb.com/title/tt6964844/,https://yts.am/torrent/download/13276E1C6C3E5D8EB0B99A031A1DBCECFA6D8AE3,https://yts.am/torrent/download/1D59652638432049996B5E79E42C2A0D34A04B50
,,,,,,
Bernie The Dolphin (2018),4.2,5,"24,240",https://www.imdb.com/title/tt7549618/,https://yts.am/torrent/download/936A95D0FD8B208A4801ACA22AEEF7C1F21FCA5D,https://yts.am/torrent/download/7809830DCDC04919116DD4B3D248081448BAF377
,,,,,,
The Brave One (1956),6.8,2,"9,595",https://www.imdb.com/title/tt0049030/,https://yts.am/torrent/download/C2F849534BF2D79825A1FB8093D0065AE692DB9C,https://yts.am/torrent/download/BFD3278CA14F3F68F3BEBF64734E6433CCD4C580
,,,,,,
Asher (2018),6.3,10,"43,329",https://www.imdb.com/title/tt6131450/,https://yts.am/torrent/download/7788DABA24DE34BBC17F7953F21552580191638E,https://yts.am/torrent/download/951AAADAE2DBD34C84190BAF685840A67CDF1A5C
,,,,,,
Extraordinary Mission (2017),6.3,7,"26,765",https://www.imdb.com/title/tt6690310/,https://yts.am/torrent/download/9B874EDB97C49396649F42CD27A527D1256488A4,https://yts.am/torrent/download/3918E1EB0A50B461E8496FA5E9B64FEB667FA13D
,,,,,,
Robert and the Toymaker (2017),3.9,4,"10,302",https://www.imdb.com/title/tt5457454/,https://yts.am/torrent/download/01978A945DAA1C2630FF64AC0AF662BFE76EE025,https://yts.am/torrent/download/C6F9E484E49C356E77476BBC3D1036056D666638
,,,,,,
Alice in Murderland (2010),1.9,3,"9,292",https://www.imdb.com/title/tt1753422/,https://yts.am/torrent/download/3C333468722CA9F844E96B0EEC0BB917ABD11844,https://yts.am/torrent/download/B1DE9ADE223BE050A3D02158AFEE8542E85C362D
,,,,,,
The Tender Hook (2008),5.6,5,"7,575",https://www.imdb.com/title/tt0452692/,https://yts.am/torrent/download/F4DF965CDA7312E49AB287ECD16A0D151B6E2E33,https://yts.am/torrent/download/11B1D137CFD24107A43CA339960AFC225C4E1189
,,,,,,
The Mermaid: Lake of the Dead (2018),4.2,9,"45,955",https://www.imdb.com/title/tt7162390/,https://yts.am/torrent/download/DF457493C2491813FEC4D8FD8F090234E474E54E,https://yts.am/torrent/download/491B21C8C8A399389DFB54FCB8E33316CB4A7CC8
,,,,,,
The Aviator (1985),5.5,7,"8,181",https://www.imdb.com/title/tt0088758/,https://yts.am/torrent/download/E68DEAD9586F0F356E8037A0ED539AB41AFE914F,https://yts.am/torrent/download/F9BDF70906724B51FBEB7A5E35AD8B3A812F1B61
,,,,,,
The Ghost Beyond (2018),5,9,"22,826",https://www.imdb.com/title/tt6250792/,https://yts.am/torrent/download/558C6D238DAB582E78332773F937F37F8546B69F,https://yts.am/torrent/download/335A239E19C48C03A9D78A94B4275194E231B7EB
,,,,,,
Kodachrome (2017),6.8,57,"59,287",https://www.imdb.com/title/tt1880399/,https://yts.am/torrent/download/756A60B7BCEE8D6A9956F85B565D03407BFDF0AF,https://yts.am/torrent/download/9FFB58707CA0ADD2183970A323C7D3AF6F714F0C
,,,,,,
Formosa Betrayed (2009),6.3,4,"10,908",https://www.imdb.com/title/tt1121786/,https://yts.am/torrent/download/CB63B39837533F68787643F6818317FA5BBE5F96,https://yts.am/torrent/download/9E8EA58DCB7EFAB87BE0B936223A6B7AA1A81E6E
,,,,,,
Worth (2018),7.2,2,"10,605",https://www.imdb.com/title/tt7520980/,https://yts.am/torrent/download/6B4376029F089B54620F0690D252170CBD645D3A,https://yts.am/torrent/download/F9DA31C1B16C65539351FABE356AC8FD458B4C16
,,,,,,
Alla vet (2018),7.1,19,"48,076",https://www.imdb.com/title/tt4964788/,https://yts.am/torrent/download/94B0234264F115FD7AFB129E691891815A2C134D,https://yts.am/torrent/download/A50D53CF1B8A57D152E8238BE7BB1A0444187643
,,,,,,
Fanged Up (2017),8.3,4,"27,270",https://www.imdb.com/title/tt5078886/,https://yts.am/torrent/download/C4FEDF8D8561EC7F23AE4FA3793FC009BAD72765,https://yts.am/torrent/download/A3A0CC0D25886A849F8AB253530CEEE042A69D3E
,,,,,,
Dead Ringer (2018),8.7,4,"25,048",https://www.imdb.com/title/tt6864090/,https://yts.am/torrent/download/AC514B2BF9635FCEC585CD882B51583D3775732A,https://yts.am/torrent/download/CB6BBD4F20BA9137C68065CB94F0BDA990957F69
,,,,,,
The Swarm (1978),4.4,3,"6,767",https://www.imdb.com/title/tt0078350/,https://yts.am/torrent/download/5501D8CC7A8B7489850F93A8A1D8C70E1D2D5991,https://yts.am/torrent/download/1377620310E62B5864C7C2FCBA383DB7E97F8B95
,,,,,,
18 Fingers of Death! (2006),3.4,2,"8,989",https://www.imdb.com/title/tt0397853/,https://yts.am/torrent/download/9A2A8B560E4E3410E0BD1B6D63E01CC65B865290,https://yts.am/torrent/download/5088DC5321BABC629F14E0222BFFD566D2324FC5
,,,,,,
Quentin Tarantino: 20 Years of Filmmaking (2012),6.6,7,"13,837",https://www.imdb.com/title/tt6021960/,https://yts.am/torrent/download/BB8413AD9EA9EDD437672643E1FB36818EF56A19,https://yts.am/torrent/download/E74E81D5E268858061F50810CFA61CA88BCE4277
,,,,,,
Blue Iguana (2018),5.3,15,"73,629",https://www.imdb.com/title/tt2316479/,https://yts.am/torrent/download/2264DB7E839913DE7D8FFF3B495CA6689DA566D7,https://yts.am/torrent/download/E1F1531A5B5E0B0AC0CA0E82ADF791AA4CA66B03
,,,,,,
Payday (2018),5.3,6,"19,190",https://www.imdb.com/title/tt6250554/,https://yts.am/torrent/download/32832C4429D96AA13FCFDC17BFCEEF181FA1E76A,https://yts.am/torrent/download/B9392F7D8F16E5BA5BA14279E7E716FCB8E901B2
,,,,,,
Tender Mercies (1983),7.4,5,"6,060",https://www.imdb.com/title/tt0086423/,https://yts.am/torrent/download/32DCAEA13948209A06A09CB2D2FBF48419F7AEBA,https://yts.am/torrent/download/B9392F7D8F16E5BA5BA14279E7E716FCB8E901B2
,,,,,,
You Might Be the Killer (2018),6.4,8,"33,532",https://www.imdb.com/title/tt8998472/,https://yts.am/torrent/download/6F0DED7D14CDA182FA04C8EEE692C3F182270696,https://yts.am/torrent/download/63F6F1D67E5032E206CA911ECAADDEE2D26B9B90
,,,,,,
"Never Steady, Never Still (2017)",5.8,4,"10,908",https://www.imdb.com/title/tt5492260/,https://yts.am/torrent/download/60E9029716C0CA8C1CE8EB119CB2D35B02F3408A,https://yts.am/torrent/download/BD97097A49434416C91EB82A08B563A9C3AAA71F
,,,,,,
Warrior Pride (2018),0,7,"12,221",https://www.imdb.com/title/tt6953526/,https://yts.am/torrent/download/63D9B22456D15E3873E9B58F5247D12AA09A4EF0,https://yts.am/torrent/download/6BA8E7CAF1E5BDC3412EBB770A37E0E5C404E7BE
,,,,,,
Life Itself (2018),5.9,16,"37,370",https://www.imdb.com/title/tt5989218/,https://yts.am/torrent/download/6CFBEC177EEBF7A1DA04BDC968F36264F3A81803,https://yts.am/torrent/download/5C806AA88F0A54F1B53040680AFF25B99618DB8E
,,,,,,
Tinker' (2018),5,8,"24,038",https://www.imdb.com/title/tt3833682/,https://yts.am/torrent/download/FB02AF78E12C3654D3DFB1F7F78119D090AD9F9E,https://yts.am/torrent/download/4D2FE08CFB984C879EAA1DCB8028143512631A99
,,,,,,
The Cabin (2018),4.9,5,"16,766",https://www.imdb.com/title/tt5963066/,https://yts.am/torrent/download/25ECB490787A30B200DCC31C983030B75A613A69,https://yts.am/torrent/download/3663E5037A1DCEF944C90690A8B2A6D468E67C2D
,,,,,,
Hedgehog (2017),6.2,4,"10,807",https://www.imdb.com/title/tt5179398/,https://yts.am/torrent/download/AD3C730E7294A40B4A068443DCC8C045947EF032,https://yts.am/torrent/download/0663D7D7C67B246DB83E7F0DD3CF54BB9FFBBF47
,,,,,,
Say Her Name: The Life and Death of Sandra Bland (2018),6.8,4,"13,433",https://www.imdb.com/title/tt8106584/,https://yts.am/torrent/download/9F45A898C88696CA34F297EE5D75E1C83AEDB9D7,https://yts.am/torrent/download/6FFBBBD5D520F4C7FDCB7193FA9CE1936A656AE3
,,,,,,
Everything Beautiful Is Far Away (2017),5.5,3,"14,039",https://www.imdb.com/title/tt3605266/,https://yts.am/torrent/download/D3CCC90F24213AD885D0C6B46C42A83E363D6F5F,https://yts.am/torrent/download/DFF7068A41677AB3490C4A01EBFB3051DD3BABFE
,,,,,,
Venom (2018),6.9,564,"18,88,195",https://www.imdb.com/title/tt1270797/,https://yts.am/torrent/download/FDF369445A7E51534E101132F3E01363F3525109,https://yts.am/torrent/download/03BB57EA1F7E8DC9CC7DA349B549D7A7C5BC3359
,,,,,,
River Runs Red (2018),5.4,34,"2,76,336",https://www.imdb.com/title/tt5843780/,https://yts.am/torrent/download/ABDDE99DC8B2AC61535937DA1941E10F0FC35779,https://yts.am/torrent/download/80BED0F0C7C7E7D7539619B689A8029B3AB1429C
,,,,,,
Critters 4 (1992),4.1,9,"10,504",https://www.imdb.com/title/tt0101628/,https://yts.am/torrent/download/E57FC12259AA9D014ABD56842409D4E88629C7B8,https://yts.am/torrent/download/050D5029B34A8AD30F9DD4D61ED3AADC88B453D8
,,,,,,
Pickings (2018),6,12,"31,108",https://www.imdb.com/title/tt4789822/,https://yts.am/torrent/download/15CEC2D9D054ED8CC8990E7019A8F23FE92648C3,https://yts.am/torrent/download/5514B2DE2BFC70400BB49F21D30CD63B381D8A41
,,,,,,
Colette (2018),6.9,20,"37,168",https://www.imdb.com/title/tt5437928/,https://yts.am/torrent/download/D76E140EC9585B3F2B9A6A7944E5127A7C0BBFF9,https://yts.am/torrent/download/C224C5303A5704D779EE80EF1A7ADCAAA4E62F82
,,,,,,
I'll Be Next Door for Christmas (2018),8.6,13,"47,975",https://www.imdb.com/title/tt4057146/,https://yts.am/torrent/download/355667116AACA59E134865BC73B0F25F264FCDDF,https://yts.am/torrent/download/7D8A2CB55C6658F1AD3BD019FB66926FAF876D8D
,,,,,,
California No (2018),6.4,7,"22,119",https://www.imdb.com/title/tt5441464/,https://yts.am/torrent/download/6760BB3B4FB8DA2A4541628110ADF42BFADD8C25,https://yts.am/torrent/download/20D32EF84DA95457BFD3D2BE22C0FF5C34CEACD4
,,,,,,
Howard Lovecraft and the Kingdom of Madness (2018),5,6,"21,210",https://www.imdb.com/title/tt9055114/,https://yts.am/torrent/download/11116C2C7C2BDE098751E957C3C80244AA5AD75C,https://yts.am/torrent/download/8C52930A6D1C59F3BDE30347229A9F649E878147
,,,,,,
Another Time (2018),4.7,13,"1,00,192",https://www.imdb.com/title/tt3451984/,https://yts.am/torrent/download/3C19F229710EB24718C422538DE88096D442DC65,https://yts.am/torrent/download/ABE414C2C510D26F4BD5F9EA29E5729A64F60EB2
,,,,,,
Down River (2018),5.1,10,"51,611",https://www.imdb.com/title/tt4791276/,https://yts.am/torrent/download/810DACFA63AA7E0A84426E863766E91C2FAD5F81,https://yts.am/torrent/download/F1C61676F1B3C97FD7032999898DFD617C108F0C
,,,,,,
Dead Trigger (2017),5.2,5,"22,725",https://www.imdb.com/title/tt5662550/,https://yts.am/torrent/download/6875A6C43E090ECF5B7A3932E782D7C715F0722A,https://yts.am/torrent/download/DCE5254F8785DD645C6807D2E31A2AEB9D2D719F
,,,,,,
After Everything (2018),6.1,7,"20,200",https://www.imdb.com/title/tt6688022/,https://yts.am/torrent/download/262A98F8EB9C8E77AEE6AFAFB380BEDF5E1F4904,https://yts.am/torrent/download/A0EDFBC3AFD047FCFDC2B0603ACBA493FB30D265
,,,,,,
Carter & June (2017),4.3,5,"14,342",https://www.imdb.com/title/tt4729790/,https://yts.am/torrent/download/EC56C88AAC2A5463498A2E0EC9607B8A729DE064,https://yts.am/torrent/download/EFAA29426845777ED728BCBACAA1BEE1108E15DB
,,,,,,
A Frozen Christmas 3 (2018),0,3,"19,594",https://www.imdb.com/title/tt8535852/,https://yts.am/torrent/download/CCDCDE792B8869242384925BAF3DD707CCB0D2DE,https://yts.am/torrent/download/09FF0230CB7D6F6B23AB0916395B6BBA5E9D8FA3
,,,,,,
Born Racer (2018),6.3,8,"45,046",https://www.imdb.com/title/tt6936350/,https://yts.am/torrent/download/C432693FD71BE642BB1D584C3D0A55B306218A40,https://yts.am/torrent/download/E7BE291ECE6A0F09CE32A40563C4D81311FDB5DF
,,,,,,
A Fistful of Lead (2018),0,7,"19,897",https://www.imdb.com/title/tt7468604/,https://yts.am/torrent/download/F754C408BD506FC275E3CB176BC4D1F144E62F60,https://yts.am/torrent/download/F357F5820A501DC72951332185B0878AE15E8137
,,,,,,
Bernard and Huey (2017),5.2,3,"9,191",https://www.imdb.com/title/tt4654016/,https://yts.am/torrent/download/18EFBEF14DD8D68E7BB5F8FFD93CACA40AD626A0,https://yts.am/torrent/download/B79F898D0BD1044BE940F526B6388278E4121A02
,,,,,,
The Brawler (2019),0,6,"23,836",https://www.imdb.com/title/tt5471472/,https://yts.am/torrent/download/11D545E605A67C57E05097EF8949F2E0A736CDA7,https://yts.am/torrent/download/4A4FFB78A373E8D3968D1BC2D47A95D2DBD7E8AE
,,,,,,
Death of a Nation (2018),4.9,9,"14,140",https://www.imdb.com/title/tt8564902/,https://yts.am/torrent/download/1CB19C7E5E705BD24B8AA79E13E84CAE7A097476,https://yts.am/torrent/download/1D65390CBC0390D55D313ECDC1C34D251A6B5490
,,,,,,
Dead in a Week: Or Your Money Back (2018),6.3,17,"97,263",https://www.imdb.com/title/tt3525168/,https://yts.am/torrent/download/0426C7FF07872F047754FCD562C5E9A5C0EF9491,https://yts.am/torrent/download/1B6A4010C21FADFDFC18A5CFCCBC25E46E332A55
,,,,,,
Ouija Seance: The Final Game (2018),2.3,6,"19,695",https://www.imdb.com/title/tt8655708/,https://yts.am/torrent/download/F8242B18E83248F70461740C6F187778E3FE5165,https://yts.am/torrent/download/056B07D4478DA47096CF5EFC57CE390BD17C6C70
,,,,,,
What Keeps You Alive (2018),5.9,4,"18,988",https://www.imdb.com/title/tt7073710/,https://yts.am/torrent/download/2E7ADE7929966393F0A489ED602DAD52E0954C30,https://yts.am/torrent/download/07F26A7C39092CAC271795DCB78DFE8365AF81E1
,,,,,,
The Trump Prophecy (2018),1.6,5,"12,524",https://www.imdb.com/title/tt8235296/,https://yts.am/torrent/download/43800F819C81FA773DECF82E47EAEAD7C42448E9,https://yts.am/torrent/download/5D33F7AB9B9D07A11740B1487B9B99FF5CC803B3
,,,,,,
The Hitman Agency (2018),3.8,4,"28,280",https://www.imdb.com/title/tt8197418/,https://yts.am/torrent/download/1321C27B8E9BFF9E6519AB6D38BC7530341E5FC6,https://yts.am/torrent/download/6D3B0EFD4A89EE866931805C0E199F5B7F721146
,,,,,,
Nothing Sacred (1937),7.3,7,"9,494",https://www.imdb.com/title/tt0029322/,https://yts.am/torrent/download/EEC2B18908C17589C2CB567790E8CFFDE7F80D03,https://yts.am/torrent/download/4AA2A341D5486774B3DC00416FB3335D6A93EB24
,,,,,,
Klippers (2018),2.7,2,"12,019",https://www.imdb.com/title/tt5781146/,https://yts.am/torrent/download/8ADE7028D36D13DBDBC1E95DB294EDC2886B2FF8,https://yts.am/torrent/download/85DC0F67713A518A539291FDF18C231DC058FDC3
,,,,,,
Hide in the Light (2018),4.4,2,"11,817",https://www.imdb.com/title/tt4369136/,https://yts.am/torrent/download/0486576B8714E3FC008BB933E74F87EB296FFC09,https://yts.am/torrent/download/736851D0FA43361ED1A4D7FDD760004A63732296
,,,,,,
Bad Company (2018),3.5,3,"11,817",https://www.imdb.com/title/tt3111306/,https://yts.am/torrent/download/BC7F8DD2A05D141FA39EDC3A0AE14A8AA7E1CDBD,https://yts.am/torrent/download/FEF36B58341CE95A0B396CF7A27B72E61EDD8D51
,,,,,,
The Gilligan Manifesto (2018),4.2,2,"7,575",https://www.imdb.com/title/tt5132392/,https://yts.am/torrent/download/5488B8DC5D808C6F9908B9622BAE80AE49E3443C,https://yts.am/torrent/download/1BF200C153D3302F9DB190D8610D5473988D67C3
,,,,,,
Stalked by My Doctor: Patient's Revenge (2018),6,4,"11,918",https://www.imdb.com/title/tt8499212/,https://yts.am/torrent/download/1FC7F3A7181B5CA08612E6F91F7399D4A05EE658,https://yts.am/torrent/download/3E8E57EC94B277FAF31D62C1D57DBA8F3BA59BAF
,,,,,,
A Heavenly Christmas (2016),6.6,6,"17,372",https://www.imdb.com/title/tt6263260/,https://yts.am/torrent/download/8C698F3AD1859CB1C7CDAC27708A51D9B0D4AAF0,https://yts.am/torrent/download/2637D34265578802547EF63AEC938A963F6DC497
,,,,,,
Laplace's Witch (2018),5.6,7,"16,564",https://www.imdb.com/title/tt6686358/,https://yts.am/torrent/download/1121233613A265E17D48D436AE208AF5FC88C65D,https://yts.am/torrent/download/94C300A2FFCA5438E3C998C1E9208644F219CF61
,,,,,,
Support the Girls (2018),6.2,26,"99,182",https://www.imdb.com/title/tt6859352/,https://yts.am/torrent/download/FB649ED38F2F3670D408C6C67F302C024E93BC3F,https://yts.am/torrent/download/02F36D9451B4F615BFF71363CCA2E64C4BD85BE4
,,,,,,
Dog Days (2018),5.9,23,"92,819",https://www.imdb.com/title/tt7365604/,https://yts.am/torrent/download/FD8D842649B4C32101CF497430B13FB29B908796,https://yts.am/torrent/download/86D1A9DD4C2A4377B09CE90E9CF9299331596770
,,,,,,
Monster Hunt 2 (2018),5.3,54,"2,29,371",https://www.imdb.com/title/tt6170484/,https://yts.am/torrent/download/88BAA5FE0B04CCDF1E9E5E337F32CEA4FB75039D,https://yts.am/torrent/download/8C117CFE238F002814D592F1EECD77A8D086D606
,,,,,,
American Romance (2016),4.2,5,"14,645",https://www.imdb.com/title/tt3254930/,https://yts.am/torrent/download/35F35300AEA0BF2A7F90F8291CC357CDCCFB5897,https://yts.am/torrent/download/871600F08A7BBA08D8D28FAE26F249FC1D27D6D4
,,,,,,
High Voltage (2018),4.2,7,"47,773",https://www.imdb.com/title/tt6905442/,https://yts.am/torrent/download/5800EFBDA58A71F2DBDA34E82C1AAB80F3DAA228,https://yts.am/torrent/download/C65EAC31752B7ECEC0747C437E907F408ACF24FD
,,,,,,
Time Jumpers (2018),2.8,10,"34,542",https://www.imdb.com/title/tt8041916/,https://yts.am/torrent/download/9A9F60A9802E62CE99EEC83C19120D0226883807,https://yts.am/torrent/download/FA3AB92624391F6F5CED9F67F48D008D7E9DB7BD
,,,,,,
Snowflake (2017),6.9,9,"28,078",https://www.imdb.com/title/tt3130560/,https://yts.am/torrent/download/8DF6F1391268CD051576D40793C8B67A1C8ACD0E,https://yts.am/torrent/download/279DC7092EA1DADAA13B9BAE28DB0F47BC2ACF12
,,,,,,
The Pinch (2018),4.7,5,"12,322",https://www.imdb.com/title/tt5836576/,https://yts.am/torrent/download/DBEC50B33AA40BC2B8B7003985135DE5FB76A21E,https://yts.am/torrent/download/1F4A7BAACA488F68B9D2D04C880793361615B623
,,,,,,
The Girl in Black Stockings (1957),5.4,4,"7,777",https://www.imdb.com/title/tt0050439/,https://yts.am/torrent/download/1B8D170BD972D8E0139A2FC7880B3590DCD16F8F,https://yts.am/torrent/download/3ED752D2A6A35D6BA3B1490324C103D2D017F62F
,,,,,,
Vice Raid (1959),5.3,4,"8,484",https://www.imdb.com/title/tt0053418/,https://yts.am/torrent/download/F6DD8DB42B59678488BB4FDE11B4A4B39FD3F0BC,https://yts.am/torrent/download/19E0D62069EDDAED982BC977D41FD08A66D06057
,,,,,,
Guns Girls and Gangsters (1959),6.3,3,"7,676",https://www.imdb.com/title/tt0052870/,https://yts.am/torrent/download/3591FB001B3F83760A01091C1B09006CCC8321CD,https://yts.am/torrent/download/91F516A876FF4549E1B356CE35F06B890583AB8E
,,,,,,
The Lingering (2018),5.7,9,"18,079",https://www.imdb.com/title/tt9053906/,https://yts.am/torrent/download/7BAD3097B1D02DE5DFB8DEB1770817B92B7AE4A3,https://yts.am/torrent/download/BADDD640492298A6F782DBD66DF287662518C24C
,,,,,,
The Ex-File 3: Return of the Exes (2017),5.6,3,"13,231",https://www.imdb.com/title/tt7830888/,https://yts.am/torrent/download/EE6CAE3460FB225C854A0914EF6D00DF8DD4BF26,https://yts.am/torrent/download/C362E0DF44B4763A7EE31DBC27F1F6BF3742E9C7
,,,,,,
Smoke Screen (2018),4.8,1,"14,443",https://www.imdb.com/title/tt5844340/,https://yts.am/torrent/download/0616B56331F30D0D68F5DF2D97D799E03E86359C,https://yts.am/torrent/download/DD78FA082161F2C4FE2AFDF195F62EAD761C8826
,,,,,,
The Chase (2017),6.4,5,"24,139",https://www.imdb.com/title/tt8088944/,https://yts.am/torrent/download/3DABA25FB28693D0CC9CE817651B5C7EB89855EE,https://yts.am/torrent/download/0BA86D2AFEF16E1DD7683E7C39C323D45F66DC0D
,,,,,,
Satanic Meat Cleaver Massacre (2017),2.7,2,"8,181",https://www.imdb.com/title/tt7202354/,https://yts.am/torrent/download/C34AFCE7D4A86FEE8BBD5E8F4995927C4938F41D,https://yts.am/torrent/download/3DFFC2302A824AC5C0444DAB75273B136B47485A
,,,,,,
Orphan Horse (2018),6.2,10,"29,189",https://www.imdb.com/title/tt7784788/,https://yts.am/torrent/download/54B557A5AC396CA2DBAFE8BA3713AD2FA83BAE99,https://yts.am/torrent/download/2D19C988F84B0D25738D9F80DFC866EB13582BB6
,,,,,,
Puluboin ja Ponin leffa (2018),4.1,3,"6,969",https://www.imdb.com/title/tt6591652/,https://yts.am/torrent/download/CB652A6136B50A331A99D173DB18D899A2D2A8FB,https://yts.am/torrent/download/14D10ED708C78407FD0959B2AFE70B5DDB79E241
,,,,,,
Freejack (1992),5.3,7,"14,241",https://www.imdb.com/title/tt0104299/,https://yts.am/torrent/download/FDA87A4E0F8669DEBBE3D7DBE286B5D85F90B561,https://yts.am/torrent/download/BF649223233925A4E775A0CD04E0B24D6A73A756
,,,,,,
Operation Finale (2018),6.5,25,"1,50,389",https://www.imdb.com/title/tt5208252/,https://yts.am/torrent/download/FBFEE7DB16B7FB14B54939C0E75D5F6811E021C4,https://yts.am/torrent/download/878260F272C5A440FE0938CC42D5F841C7CD2052
,,,,,,
The Bromley Boys (2018),6.5,3,"27,573",https://www.imdb.com/title/tt2179231/,https://yts.am/torrent/download/810B16B150A2C6F245611F45ABE5CE28D67718E9,https://yts.am/torrent/download/FFFF0ADC398422B48D122F970B57E054BFC47B72
,,,,,,
Swiped (2018),7.6,6,"49,692",https://www.imdb.com/title/tt4867110/,https://yts.am/torrent/download/E7C48664777B539BDABD8DDCCE45A0DFAF89AB88,https://yts.am/torrent/download/4AF9A909AC3E53A300C02BAEBCE58686620785FE
,,,,,,
Lukas (2018),6.2,30,"83,224",https://www.imdb.com/title/tt7816392/,https://yts.am/torrent/download/56E574E662014824911B49C844042E9E2AC5A7F7,https://yts.am/torrent/download/B4D6E33DB4E96959184AE2B7AAAE31BF80A08566
,,,,,,
Strangeways Here We Come (2017),4.9,1,"7,575",https://www.imdb.com/title/tt4299774/,https://yts.am/torrent/download/9B4EF5C5B64E1A3C4FAA7804658CDC4909FC8934,https://yts.am/torrent/download/0CC1CF20EEF703FDC728160375E10684E3A1052E
,,,,,,
Last American Horror Show (2018),4.1,2,"16,463",https://www.imdb.com/title/tt8113950/,https://yts.am/torrent/download/8778DFD0CAD59645BAF8DC5F6D43D59D308B3C59,https://yts.am/torrent/download/28090EC3DDA8F47AD2685769780646A9D7BA950F
,,,,,,
